TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1
"Vintage Streetcar Ink Sketch | Black and White Transportation Wall Art | European Tram Printable Drawing","Streetcar ink sketch...",2.99,USD,10,"tram_sketch,vintage_transport,black_white_print,urban_wall_art,ink_drawing,european_street,printable_art,transportation,line_art,city_sketch,vintage_decor,hand_drawn,streetcar_art",,https://i.etsystatic.com/35915646/r/il/a8057b/7904543471/il_fullxfull.7904543471_pe99.jpg
"Jefferson Memorial Ink Sketch | Black and White Architecture Wall Art | Washington DC Printable Drawing","Jefferson Memorial sketch...",2.99,USD,7,"urban_sketch_bundle,architecture_set,nyc_printable_art,gallery_wall_prints,black_white_decor,minimalist_sketch,cityscape_wall_art,digital_download_set,modern_wall_artwork,travel_sketch_bundle,hand_drawn_printable,architecture_print,urban_wall_decor",,https://i.etsystatic.com/35915646/r/il/ae0300/7159407090/il_fullxfull.7159407090_mvoy.jpg
"Kyoto Printable Wall Art – Japanese Temple Sketch – Minimalist Travel Line Drawing","Kyoto temple sketch...",2.99,USD,9,"kyoto_wall_art,Japan_printable,template_sketch,japanese_line_art,travel_art_print,kyoto_pagoda_drawing,asian_wall_decor,zen_printable_art,minimalist_wall_art,hand_drawn_art,ink_drawing_print,japan_travel_gift",,https://i.etsystatic.com/35915646/r/il/1302fb/7157958516/il_fullxfull.7157958516_rat9.jpg
"Brooklyn Bridge Sketch: NYC Urban Ink Drawing (Digital Download)","Brooklyn Bridge sketch...",2.99,USD,8,"urban_sketch_bundle,architecture_set,nyc_printable_art,gallery_wall_prints,black_white_decor,minimalist_sketch,cityscape_wall_art,digital_download_set,modern_wall_artwork,travel_sketch_bundle,hand_drawn_printable,architecture_print,urban_wall_decor",,https://i.etsystatic.com/35915646/r/il/b01c18/7593683012/il_fullxfull.7593683012_31rd.jpg
"Stone Bridge Ink Sketch: Minimalist Rustic Landscape Art (Printable Digital Download)","Stone bridge sketch...",2.99,USD,10,"urban_sketch_bundle,architecture_set,nyc_printable_art,gallery_wall_prints,black_white_decor,minimalist_sketch,cityscape_wall_art,digital_download_set,modern_wall_artwork,travel_sketch_bundle,hand_drawn_printable,architecture_print,urban_wall_decor",,https://i.etsystatic.com/35915646/r/il/7dbd52/7159366264/il_fullxfull.7159366264_qvsw.jpg
"Urban Sketch Art Print Set: NYC Architecture, Street Lamp (Digital Download Bundle)","Urban sketch bundle...",5.99,USD,10,"urban_sketch_bundle,architecture_art,nyc_printable_decor,black_white_line_art,gallery_wall_set,minimalist_wall_art,cityscape_printable,travel_wall_decor,hand_drawn_sketch,modern_home_print,digital_download_set,ink_line_drawing,scandinavian_decor",,https://i.etsystatic.com/35915646/r/il/4e9d97/7207061167/il_fullxfull.7207061167_b6ld.jpg
"Arch Monument Sketch Print: Minimalist Black and White Line Art (Digital Download)","Arch monument sketch...",2.99,USD,10,"arch_sketch,monument_wall_art,architecture_print,urban_line_drawing,minimalist_decor,digital_download_art,gallery_wall_print,black_white_sketch,travel_wall_art,scandi_wall_print,hand_drawn_art,historic_landmark,modern_wall_decor",,https://i.etsystatic.com/35915646/r/il/3bc437/7207006843/il_fullxfull.7207006843_kz93.jpg
"Vintage Street Lamp Sketch: Minimalist Watercolor Urban Art (Digital Download)","Street lamp sketch...",2.99,USD,10,"urban_sketch_bundle,architecture_set,nyc_printable_art,gallery_wall_prints,black_white_decor,minimalist_sketch,cityscape_wall_art,digital_download_set,modern_wall_artwork,travel_sketch_bundle,hand_drawn_printable,architecture_print,urban_wall_decor",,https://i.etsystatic.com/35915646/r/il/e2e05b/7159014016/il_fullxfull.7159014016_13sp.jpg
"Whitney Museum Print: Minimalist NYC Architecture Sketch (Digital Download)","Whitney Museum sketch...",2.99,USD,10,"whitney_museum_art,new_york_wall_art,nyc_printable_sketch,architecture_sketch,black_white_line_art,urban_sketch_print,minimalist_decor,modern_wall_art,digital_download_art,scandinavian_print,gallery_wall_decor,cityscape_printable,travel_wall_art",,https://i.etsystatic.com/35915646/r/il/2c11fd/7158979064/il_fullxfull.7158979064_b52v.jpg
"Tree Sketch Collection – Minimalist Botanical Line Art – Printable Nature Wall Art Set","Tree sketch collection...",2.99,USD,10,"tree_sketch_print,botanical_line_art,forest_wall_art,nature_line_drawing,minimalist_tree_art,woodland_wall_art,ink_tree_drawing,black_white_tree,botanical_decor,hand_drawn_tree,printable_tree_art,Scandinavian_nature,tree_wall_printable",,https://i.etsystatic.com/35915646/r/il/ba2665/7206261599/il_fullxfull.7206261599_mp7s.jpg
"Triumphal Arch Sketch – Minimalist Architectural Drawing – Printable Landmark Wall Art","Triumphal arch sketch...",2.99,USD,10,"triumphal_arch_art,arch_line_drawing,landmark_wall_art,minimalist_building,European_arch_print,travel_wall_art,classical_arch_art,ink_building_print,hand_drawn_arch,black_white_arch,architecture_art,gallery_wall_art,landmark_printable",,https://i.etsystatic.com/35915646/r/il/70459c/7206229579/il_fullxfull.7206229579_lcio.jpg
"Daffodil & Hyacinth Sketch","Daffodil & hyacinth botanical sketch...",2.99,USD,10,"daffodil_wall_art,hyacinth_line_art,flower_sketch_print,minimalist_botanical,garden_flower_art,printable_flower_art,ink_flower_drawing,hand_drawn_floral,spring_flower_print,botanical_wall_print,nature_inspired_art,black_white_flower,flower_wall_decor",,https://i.etsystatic.com/35915646/r/il/844450/7158154504/il_fullxfull.7158154504_lgaq.jpg
"Botanical Flower (Pink)","Pink botanical flower sketch...",2.99,USD,10,"botanical_wall_art,flower_line_art,pink_floral_sketch,minimalist_flower,botanical_printable,digital_flower_art,modern_floral_decor,hand_drawn_flower,black_white_floral,printable_wall_decor,Scandinavian_art,botanical_drawing,flower_ink_sketch",,https://i.etsystatic.com/35915646/r/il/34a050/7206107759/il_fullxfull.7206107759_gdgl.jpg
"Golden Dome Cathedral","Cathedral with golden domes sketch...",2.99,USD,10,"cathedral_wall_art,architecture_sketch,dome_landmark_art,church_line_drawing,ink_building_art,historical_landmark,European_landmark,cathedral_printable,hand_drawn_building,black_white_building,religious_wall_art,travel_landmark_art,architecture_print",,https://i.etsystatic.com/35915646/r/il/1563ca/7206193175/il_fullxfull.7206193175_ntlx.jpg
